"","ID","Category","Unit","Rubric","Translation","Question","Choices","Solution","Image","Tags"
"269","270","CHAPTER 04 보어의 이해","UNIT 25 과거분사(p.p.) 목적격보어","문장을 완성하라.","일에 집중하는 것이 어려울 때, // 적절한 음악을 듣는 것은 / 당신이 계속 동기를 부여받게 할 수 있을 것이다.","{{c1::When it’s hard to focus at work, listening to the appropriate music could keep you motivated.}}","when it’s hard to focus at work, listening to the appropriate music could keep you motivated","","",""
"270","271","CHAPTER 04 보어의 이해","UNIT 25 과거분사(p.p.) 목적격보어","문장을 완성하라.","내가 너에게 줄게 / 몇 가지 조언을 (더 나은 에세이를 위한) [네가 주목받도록 해줄].","{{c1::I’ll give you some tips for a better essay that will get you noticed.}}","i’ll give you some tips for a better essay that will get you noticed","","",""
"271","272","CHAPTER 04 보어의 이해","UNIT 25 과거분사(p.p.) 목적격보어","문장을 완성하라.","언젠가, / 당신은 알게 될지도 모른다 / 자신이 / 향상된 것을 / 당신의 모든 노력에 의해.","{{c1::Someday, you may find yourself improved by all your struggles.}}","someday, you may find yourself improved by all your struggles","","",""
"272","273","CHAPTER 04 보어의 이해","UNIT 25 과거분사(p.p.) 목적격보어","문장을 완성하라.","만약 당신의 달걀이 부화되기를 원한다면, // 그것들 위에 직접 앉아라.","{{c1::If you want your eggs hatched, sit on them yourself.}}","if you want your eggs hatched, sit on them yourself","","",""
"273","274","CHAPTER 04 보어의 이해","UNIT 25 과거분사(p.p.) 목적격보어","문장을 완성하라.","(~)하지 않도록 하라 / 네 자신이 / 세 가지 것들에 의해 통제되지 않도록 / 사람들, 돈 또는 과거의 경험들.","{{c1::Don’t let yourself be controlled by three things: people, money, or past experiences.}}","don’t let yourself be controlled by three things: people, money, or past experiences","","",""
"274","275","CHAPTER 04 보어의 이해","UNIT 25 과거분사(p.p.) 목적격보어","문장을 완성하라.","취약한 보안 시스템은 (일부 웹사이트들의) / 사용자들의 개인 정보를 ~된 채로 두었다 / 해커 들에게 쉽게 노출된.","{{c1::The weak security systems of some websites left users’ personal information easily exposed to hackers.}}","the weak security systems of some websites left users’ personal information easily exposed to hackers","","",""
"275","276","CHAPTER 04 보어의 이해","UNIT 26 have + 목적어 + p.p.","문장을 완성하라.","당신이 에세이를 완성할 때, // 그것이 다른 사람에 의해 검토되게 하라.","{{c1::When you complete your essay, have it reviewed by someone else.}}","when you complete your essay, have it reviewed by someone else","","",""
"276","277","CHAPTER 04 보어의 이해","UNIT 26 have + 목적어 + p.p.","문장을 완성하라.","(~한) 일이 있나요 / 집에서 무언가를 도난당한?","{{c1::Have you ever had something stolen from your house?}}","have you ever had something stolen from your house?","","",""
"277","278","CHAPTER 04 보어의 이해","UNIT 26 have + 목적어 + p.p.","문장을 완성하라.","나는 이미 스스로 (~한) 상태이다 / 내 가방들을 싸 둔 / 내일 여행을 위해.","{{c1::I myself already have my bags packed for the trip tomorrow.}}","I myself already have my bags packed for the trip tomorrow","","",""
"278","279","CHAPTER 04 보어의 이해","UNIT 26 have + 목적어 + p.p.","문장을 완성하라.","우리는 시간이 없어서 (요리할), // 그래서 우리는 시켰다 / 음식이 배달되도록.","{{c1::We had no time to cook, so we had some food delivered.}}","we had no time to cook, so we had some food delivered","","",""
"279","280","CHAPTER 04 보어의 이해","UNIT 26 have + 목적어 + p.p.","문장을 완성하라.","집중 훈련 중에, / 그 달리기 주자는 / 발목이 부러졌다.","{{c1::During the intense training, the runner had his ankle broken.}}","during the intense training, the runner had his ankle broken","","",""
"280","281","CHAPTER 04 보어의 이해","UNIT 26 have + 목적어 + p.p.","문장을 완성하라.","조심하십시오 / ~ (당하지) 않도록 / 소매치기를 당하지 / 많은 군중 속에서","{{c1::Be careful not to have your pocket picked in a big crowd.}}","be careful not to have your pocket picked in a big crowd","","",""
"281","282","CHAPTER 04 보어의 이해","UNIT 26 have + 목적어 + p.p.","문장을 완성하라.","그 축구 선수는 (~인) 상태이다 / 1년이 남아 있는 / 계약서상으로.","{{c1::The soccer player has one year left on his contract.}}","the soccer player has one year left on his contract","","",""
"282","283","CHAPTER 04 보어의 이해","UNIT 26 have + 목적어 + p.p.","문장을 완성하라.","우리는 모든 것들이 완료되도록 할 수 없기 때문에 / 동시에, // 우선순위를 정해야 한다.","{{c1::Because we cannot have everything completed all at once, we have to prioritize.}}","because we cannot have everything completed all at once, we have to prioritize","","",""
"283","284","CHAPTER 05 동사의 시제","UNIT 27 현재시제의 다양한 의미","문장을 완성하라.","우리는 (~에) 살고 있다 / 시대에 (끊임없는 상호작용의).","{{c1::We live in an age of constant interaction.}}","we live in an age of constant interaction","","",""
"284","285","CHAPTER 05 동사의 시제","UNIT 27 현재시제의 다양한 의미","문장을 완성하라.","그는 등산하러 간다 / 토요일마다.","{{c1::He goes hiking every Saturday.}}","he goes hiking every Saturday","","",""
"285","286","CHAPTER 05 동사의 시제","UNIT 27 현재시제의 다양한 의미","문장을 완성하라.","대부분의 행성은 자전한다 / 반시계방향으로.","{{c1::Most planets rotate in an anticlockwise direction.}}","most planets rotate in an anticlockwise direction","","",""
"286","287","CHAPTER 05 동사의 시제","UNIT 27 현재시제의 다양한 의미","문장을 완성하라.","채식주의자들은 고기를 피한다, / 닭고기와 생선을 포함하여.","{{c1::Vegetarians stay away from meat, including chicken and fish.}}","vegetarians stay away from meat, including chicken and fish","","",""
"287","288","CHAPTER 05 동사의 시제","UNIT 27 현재시제의 다양한 의미","문장을 완성하라.","새 지하철 노선은 / 다음 달에 개통될 것이다.","{{c1::The new subway line opens next month.}}","the new subway line opens next month","","",""
"288","289","CHAPTER 05 동사의 시제","UNIT 27 현재시제의 다양한 의미","문장을 완성하라.","당신이 평범한 일을 할 때 / 평범하지 않은 방식으로, // 당신은 주목을 받을 것이다 (세상의).","{{c1::When you do common things in an uncommon way, you will get the attention of the world.}}","when you do common things in an uncommon way, you will get the attention of the world","","",""
"289","290","CHAPTER 05 동사의 시제","UNIT 27 현재시제의 다양한 의미","문장을 완성하라.","당신이 역경을 겪지 않는다면, // 당신을 모를 것이다 / 자신이 얼마나 강한지를.","{{c1::If you don’t go through hardships, you won‘t know how strong you are.}}","if you don’t go through hardships, you won‘t know how strong you are","","",""
"290","291","CHAPTER 05 동사의 시제","UNIT 27 현재시제의 다양한 의미","문장을 완성하라.","당신이 꿈을 좇기 시작하자마자, // 모든 것이 (당신의 삶의) / 의미를 가질 것이다.","{{c1::As soon as you start to pursue a dream, everything in your life will have meaning.}}","as soon as you start to pursue a dream, everything in your life will have meaning","","",""
"291","292","CHAPTER 05 동사의 시제","UNIT 28 미래를 나타내는 표현","문장을 완성하라.","너 자신을 존중해라 // 그러면 다른 사람들도 너를 존중할 것이다.","{{c1::Respect yourself and others will respect you.}}","respect yourself and others will respect you","","",""
"292","293","CHAPTER 05 동사의 시제","UNIT 28 미래를 나타내는 표현","문장을 완성하라.","성공한 사람은 / 자신의 실수에서 이익을 얻을 것이다 / 그리고 다시 시도할 것이다 / 다른 방 법으로.","{{c1::The successful man will profit from his mistakes and try again in a different way.}}","the successful man will profit from his mistakes and try again in a different way","","",""
"293","294","CHAPTER 05 동사의 시제","UNIT 28 미래를 나타내는 표현","문장을 완성하라.","이번 주에 / 나는 ~에 집중하려고 한다 / 학교 공부에 [내가 따라잡아야 할].","{{c1::This week I’m going to concentrate on schoolwork that I need to catch up on.}}","this week I’m going to concentrate on schoolwork that I need to catch up on","","",""
"294","295","CHAPTER 05 동사의 시제","UNIT 28 미래를 나타내는 표현","문장을 완성하라.","우리는 이사할 것이다 / 새로운 곳으로 / 내일.","{{c1::We are moving to a new place tomorrow.}}","we are moving to a new place tomorrow","","",""
"295","296","CHAPTER 05 동사의 시제","UNIT 28 미래를 나타내는 표현","문장을 완성하라.","많은 사람들이 포기한다 // 자신들이 막 성공을 달성하기 직전에","{{c1::A lot of people give up just before they’re about to achieve success.}}","a lot of people give up just before they’re about to achieve success","","",""
"296","297","CHAPTER 05 동사의 시제","UNIT 28 미래를 나타내는 표현","문장을 완성하라.","그녀는 막 떠나려는 참이었다 // 그가 마침내 도착했을 때.","{{c1::She was on the point of leaving when he finally arrived.}}","she was on the point of leaving when he finally arrived","","",""
"297","298","CHAPTER 05 동사의 시제","UNIT 28 미래를 나타내는 표현","문장을 완성하라.","비행기는 (토론토로 가는) / 이륙할 것이다 / 30분 이내에.","{{c1::The plane for Toronto is to take off within 30 minutes.}}","the plane for Toronto is to take off within 30 minutes","","",""
"298","299","CHAPTER 05 동사의 시제","UNIT 28 미래를 나타내는 표현","문장을 완성하라.","그 프로젝트는 시작하기로 되어 있다 / 월요일에 // 그리고 기간은 3주일 것이다.","{{c1::The project is due to start on Monday and the duration will be three weeks.}}","the project is due to start on Monday and the duration will be three weeks","","",""
"299","300","CHAPTER 05 동사의 시제","UNIT 29 현재완료형 / 현재완료 진행형","문장을 완성하라.","사람들은 궁금해했다 / 수 세기 동안 / 사후 세계에 대해.","{{c1::People have wondered for centuries about life after death.}}","people have wondered for centuries about life after death","","",""
"300","301","CHAPTER 05 동사의 시제","UNIT 29 현재완료형 / 현재완료 진행형","문장을 완성하라.","우리는 제주도에 가본 일이 있다 / 여러 번","{{c1::We have been to Jeju Island many times.}}","we have been to Jeju Island many times","","",""
"301","302","CHAPTER 05 동사의 시제","UNIT 29 현재완료형 / 현재완료 진행형","문장을 완성하라.","우리는 막 제주도에 다녀왔다 / 여름휴가로.","{{c1::We have just been to Jeju Island for summer vacation.}}","we have just been to Jeju Island for summer vacation","","",""
"302","303","CHAPTER 05 동사의 시제","UNIT 29 현재완료형 / 현재완료 진행형","문장을 완성하라.","남아프리카는 / 많은 자연유적들을 잃어왔다 / 사막화로 인해서.","{{c1::South Africa has lost many natural habitats due to deforestation.}}","south Africa has lost many natural habitats due to deforestation","","",""
"303","304","CHAPTER 05 동사의 시제","UNIT 29 현재완료형 / 현재완료 진행형","문장을 완성하라.","1985년 이래로, / 그 회사는 현재 위치에 있어 왔다.","{{c1::Since 1985, the company has been in its present location.}}","since 1985, the company has been in its present location","","",""
"304","305","CHAPTER 05 동사의 시제","UNIT 29 현재완료형 / 현재완료 진행형","문장을 완성하라.","내 일생의 꿈이었다 / 이 아름다운 도시를 방문하는 것이.","{{c1::It has been my lifelong dream to visit this beautiful city.}}","it has been my lifelong dream to visit this beautiful city","","",""
"305","306","CHAPTER 05 동사의 시제","UNIT 29 현재완료형 / 현재완료 진행형","문장을 완성하라.","너는 언젠가 상상해본 일이 있니 / 너의 미래를?","{{c1::Have you ever imagined your future?}}","have you ever imagined your future?","","",""
"306","307","CHAPTER 05 동사의 시제","UNIT 29 현재완료형 / 현재완료 진행형","문장을 완성하라.","그 야구팀은 / 지금까지 한 번도 승리하지 못했다 / 올 시즌에.","{{c1::The baseball team has never won a game so far this season.}}","the baseball team has never won a game so far this season","","",""
"307","308","CHAPTER 05 동사의 시제","UNIT 29 현재완료형 / 현재완료 진행형","문장을 완성하라.","그녀는 겨우 스무 살이다, // 하지만 그녀는 이미 얻었다 / 세계적인 명성을.","{{c1::She’s only twenty, but she’s already achieved worldwide fame.}}","she’s only twenty, but she’s already achieved worldwide fame","","",""
"308","309","CHAPTER 05 동사의 시제","UNIT 29 현재완료형 / 현재완료 진행형","문장을 완성하라.","그는 방금 (~이) 되었다 / 회원이 (멘사의) / 156이라는 추정 IQ로.","{{c1::He has just become a member of Mensa, with an estimated IQ of 156.}}","he has just become a member of Mensa, with an estimated IQ of 156","","",""
"309","310","CHAPTER 05 동사의 시제","UNIT 29 현재완료형 / 현재완료 진행형","문장을 완성하라.","내 여동생은 은행에 갔다.(그 결과 지금 여기에 없다.) 그녀는 곧 돌아올 것이다.","{{c1::My sister has gone to the bank. She should be back soon.}}","my sister has gone to the bank She should be back soon","","",""
"310","311","CHAPTER 05 동사의 시제","UNIT 29 현재완료형 / 현재완료 진행형","문장을 완성하라.","누군가가 앉아 있다 / 그늘에 / 오늘날 // (다른) 누군가가 나무를 심었기 때문에 / 오래 전에.","{{c1::Someone is sitting in the shade today because someone planted a tree a long time ago.}}","someone is sitting in the shade today because someone planted a tree a long time ago","","",""
"311","312","CHAPTER 05 동사의 시제","UNIT 29 현재완료형 / 현재완료 진행형","문장을 완성하라.","N 서울 타워는 서울의 상징이어 왔다 // 그것이 처음으로 개방된 이래로 / 대중에게 / 1980년에.","{{c1::N Seoul Tower has been a symbol of Seoul since it first opened to the public in 1980.}}","n Seoul Tower has been a symbol of Seoul since it first opened to the public in 1980","","",""
"312","313","CHAPTER 05 동사의 시제","UNIT 29 현재완료형 / 현재완료 진행형","문장을 완성하라.","그 아기는 (계속) 울고 있다 // 우리가 여기에 온 이후로.","{{c1::The baby has been crying since we got here.}}","the baby has been crying since we got here","","",""
"313","314","CHAPTER 05 동사의 시제","UNIT 29 현재완료형 / 현재완료 진행형","문장을 완성하라.","얼마나 오랫동안 (계속) 일자리를 찾아왔습니까?","{{c1::How long have you been looking for a job?}}","how long have you been looking for a job?","","",""
"314","315","CHAPTER 05 동사의 시제","UNIT 29 현재완료형 / 현재완료 진행형","문장을 완성하라.","나는 이 문제를 해결하려 (계속) 노력하고 있다 / 오후 내내. 쉴 시간이다.","{{c1::I have been trying to solve this problem all afternoon. It’s time for a break.}}","I have been trying to solve this problem all afternoon It’s time for a break","","",""
"315","316","CHAPTER 05 동사의 시제","UNIT 29 현재완료형 / 현재완료 진행형","문장을 완성하라.","그 행사는 (계속) 개최되고 있다 / 그 도시에서 / 5월 첫째 주 토요일에 / 매년.","{{c1::The event has been taking place in the city on the first Saturday of May each year.}}","the event has been taking place in the city on the first Saturday of May each year","","",""
"316","317","CHAPTER 05 동사의 시제","UNIT 30 과거완료형 / 미래완료형","문장을 완성하라.","그 피아니스트는 아팠다 / 2주 동안, // 그래서 그녀는 참가할 수 없었다 / 연주회에.","{{c1::The pianist had been sick for two weeks, so she couldn’t take part in the concert.}}","the pianist had been sick for two weeks, so she couldn’t take part in the concert","","",""
"317","318","CHAPTER 05 동사의 시제","UNIT 30 과거완료형 / 미래완료형","문장을 완성하라.","나는 그를 즉시 알아봤다 // 내가 전에 그를 본 일이 있었기 때문에.","{{c1::I recognized him at once because I had seen him before.}}","I recognized him at once because I had seen him before","","",""
"318","319","CHAPTER 05 동사의 시제","UNIT 30 과거완료형 / 미래완료형","문장을 완성하라.","내가 교실에 들어갔을 때, // 수업은 이미 끝나 있었다.","{{c1::When I entered the classroom, the lesson had already finished.}}","when I entered the classroom, the lesson had already finished","","",""
"319","320","CHAPTER 05 동사의 시제","UNIT 30 과거완료형 / 미래완료형","문장을 완성하라.","거의 11분이 지나갔다 // 선수들이 마침내 멈췄을 때 / 심판에게 이의를 제기하는 것을 / 그의 판정에 대해.","{{c1::Almost 11 minutes had gone by when the players finally stopped challenging the referee over his decision.}}","almost 11 minutes had gone by when the players finally stopped challenging the referee over his decision","","",""
"320","321","CHAPTER 05 동사의 시제","UNIT 30 과거완료형 / 미래완료형","문장을 완성하라.","캐롤은 선물을 준비했다 / 엄마를 위해 // 그런데 엄마는 자신의 평생을 희생하셨다 / 가족을 위해.","{{c1::Carol prepared a gift for her mom, who had sacrificed all her life for her family.}}","carol prepared a gift for her mom, who had sacrificed all her life for her family","","",""
"321","322","CHAPTER 05 동사의 시제","UNIT 30 과거완료형 / 미래완료형","문장을 완성하라.","그녀는 대학을 졸업하게 될 것이다 / 다음 달에는.","{{c1::She will have graduated from college by next month.}}","she will have graduated from college by next month","","",""
"322","323","CHAPTER 05 동사의 시제","UNIT 30 과거완료형 / 미래완료형","문장을 완성하라.","그녀는 영어를 죽 가르쳐온 것이 된다 / 10년 동안 / 내년이면.","{{c1::She will have taught English for ten years by next year.}}","she will have taught English for ten years by next year","","",""
"323","324","CHAPTER 05 동사의 시제","UNIT 30 과거완료형 / 미래완료형","문장을 완성하라.","만약 내가 이 영화를 한 번 더 보면, // 나는 그것을 세 번 보는 것이 될 것이다.","{{c1::If I see this film once more, I will have seen it three times.}}","if I see this film once more, I will have seen it three times","","",""
"324","325","CHAPTER 05 동사의 시제","UNIT 30 과거완료형 / 미래완료형","문장을 완성하라.","우리는 차이를 극복하게 될 것이다 // 우리가 그것들을 존중한다면.","{{c1::We will have overcome differences if we respect them.}}","we will have overcome differences if we respect them","","",""
"325","326","CHAPTER 05 동사의 시제","UNIT 31 to부정사 / 동명사의 완료형","문장을 완성하라.","나는 매우 만족스럽다 / 작년에 많은 종류의 스포츠를 시도해서","{{c1::I am very satisfied to have tried many kinds of sports last year.}}","I am very satisfied to have tried many kinds of sports last year","","",""
"326","327","CHAPTER 05 동사의 시제","UNIT 31 to부정사 / 동명사의 완료형","문장을 완성하라.","그는 부인했다 / 심각한 실수를 저질렀음을.","{{c1::He denied having made a serious mistake.}}","he denied having made a serious mistake","","",""
"327","328","CHAPTER 05 동사의 시제","UNIT 31 to부정사 / 동명사의 완료형","문장을 완성하라.","농부는 주장했다 / UFO를 봤다고 / 하늘에서.","{{c1::A farmer claimed to have seen a UFO in the sky.}}","a farmer claimed to have seen a UFO in the sky","","",""
"328","329","CHAPTER 05 동사의 시제","UNIT 31 to부정사 / 동명사의 완료형","문장을 완성하라.","(~은) 도움이 되었다 / 그 책을 복습했던 것은 // 내가 수업에 참석하기 전에.","{{c1::It was helpful to have reviewed the book before I attended the history class.}}","it was helpful to have reviewed the book before I attended the history class","","",""
"329","330","CHAPTER 05 동사의 시제","UNIT 31 to부정사 / 동명사의 완료형","문장을 완성하라.","한 번 실패한 것이 / 의미하지는 않는다 // 당신이 실패하게 될 거라는 것을 / 모든 일에.","{{c1::Having failed once doesn’t mean that you’re going to fail at everything.}}","having failed once doesn’t mean that you’re going to fail at everything","","",""
"330","331","CHAPTER 05 동사의 시제","UNIT 31 to부정사 / 동명사의 완료형","문장을 완성하라.","나는 매우 자랑스럽다 / 마라톤을 완주한 것이 / 바로 내가.","{{c1::I’m pretty proud of having completed a marathon myself.}}","i’m pretty proud of having completed a marathon myself","","",""
"331","332","CHAPTER 05 동사의 시제","UNIT 31 to부정사 / 동명사의 완료형","문장을 완성하라.","존 버딘은 유일한 과학자이다 (두 개의 노벨상을 받은 / 물리학 분야에서).","{{c1::John Bardeen is the only scientist to have received two Nobel Prizes in the Physics category.}}","john Bardeen is the only scientist to have received two Nobel Prizes in the Physics category","","",""
"332","333","CHAPTER 06 조동사","UNIT 32 능력(Ability) / 허가(Permission)","문장을 완성하라.","그녀는 몇 개 국어를 말할 수 있다 / 그녀의 모국어 외에.","{{c1::She can speak several languages plus her own language.}}","she can speak several languages plus her own language","","",""
"333","334","CHAPTER 06 조동사","UNIT 32 능력(Ability) / 허가(Permission)","문장을 완성하라.","사진이나 비디오를 찍어도 될까요 / 이 전시물들의?","{{c1::Can I take pictures or film videos of these exhibits?}}","can I take pictures or film videos of these exhibits?","","",""
"334","335","CHAPTER 06 조동사","UNIT 32 능력(Ability) / 허가(Permission)","문장을 완성하라.","이 안내서를 가지고 있어도 좋고 / 반납해도 좋습니다 / 다른 이들이 사용하도록.","{{c1::You may keep this guidebook or return it for others to use.}}","you may keep this guidebook or return it for others to use","","",""
"335","336","CHAPTER 06 조동사","UNIT 32 능력(Ability) / 허가(Permission)","문장을 완성하라.","우리의 사랑은 바람이다. 나는 그것을 볼 수 없다, // 하지만 나는 그것을 느낄 수는 있다.","{{c1::Our love is the wind. I can’t see it, but I can feel it.}}","our love is the wind I can’t see it, but I can feel it","","",""
"336","337","CHAPTER 06 조동사","UNIT 32 능력(Ability) / 허가(Permission)","문장을 완성하라.","나는 찾을 수 없었다 / 스포츠카를 (내가 꿈꾸는), // 그래서 나는 그것을 직접 만들었다.","{{c1::I couldn’t find the sports car of my dreams, so I built it myself.}}","I couldn’t find the sports car of my dreams, so I built it myself","","",""
"337","338","CHAPTER 06 조동사","UNIT 32 능력(Ability) / 허가(Permission)","문장을 완성하라.","신념이 있다면, / 당신은 처리할 수 있게 될 것이다 / 어떤 문제라도 (삶의).","{{c1::With faith, you will be able to handle any challenges in life.}}","with faith, you will be able to handle any challenges in life","","",""
"338","339","CHAPTER 06 조동사","UNIT 32 능력(Ability) / 허가(Permission)","문장을 완성하라.","방문객들은 수영장을 사용해도 된다 / 오후 5시 반에서 7시 반 사이에.","{{c1::Visitors may use the swimming pool between 5:30 p.m. and 7:30 p.m.}}","visitors may use the swimming pool between 5:30 pm and 7:30 pm","","",""
"339","340","CHAPTER 06 조동사","UNIT 32 능력(Ability) / 허가(Permission)","문장을 완성하라.","당신은 전화를 걸거나 받으실 수 없습니다 / 도서관에서 / 지정된 장소 외에서는.","{{c1::You cannot make or take phone calls in the library except in designated areas.}}","you cannot make or take phone calls in the library except in designated areas","","",""
"340","341","CHAPTER 06 조동사","UNIT 32 능력(Ability) / 허가(Permission)","문장을 완성하라.","나는 쉴 수 없다 우리 아파트에서. 소음이 (그 공원에서 오는 / 밤에) / 너무 크다.","{{c1::I cannot relax in my apartment. The noise from the park at night is so loud.}}","I cannot relax in my apartment The noise from the park at night is so loud","","",""
"341","342","CHAPTER 06 조동사","UNIT 32 능력(Ability) / 허가(Permission)","문장을 완성하라.","당신의 실수는 당신의 동기 부여가 되어야 한다, / 변명이 아니라.","{{c1::Your mistakes should be your motivation, not your excuses.}}","your mistakes should be your motivation, not your excuses","","",""
"342","343","CHAPTER 06 조동사","UNIT 32 능력(Ability) / 허가(Permission)","문장을 완성하라.","창의적인 삶을 살기 위해, / 우리는 없애야 한다 / 두려움을 (틀리는 것에 대한).","{{c1::To live a creative life, we must lose our fear of being wrong.}}","to live a creative life, we must lose our fear of being wrong","","",""
"343","344","CHAPTER 06 조동사","UNIT 33 충고(Advisability) / 의무(Necessity)","문장을 완성하라.","우리는 사람들의 장점을 판단하지 말아야 한다 / 그들의 능력으로.","{{c1::We should not judge people’s merits by their qualifications.}}","we should not judge people’s merits by their qualifications","","",""
"344","345","CHAPTER 06 조동사","UNIT 33 충고(Advisability) / 의무(Necessity)","문장을 완성하라.","당신은 더 나은 것을 기대해야 한다 (사람들의). 그것은 (~하도록) 격려한다 / 당신이 스스로 더 나은 사람이 되도록.","{{c1::You ought to expect better of people. It encourages you to be a better person yourself.}}","you ought to expect better of people It encourages you to be a better person yourself","","",""
"345","346","CHAPTER 06 조동사","UNIT 33 충고(Advisability) / 의무(Necessity)","문장을 완성하라.","인생은 불꽃놀이와 같다. 당신은 기회를 포착해야 한다!","{{c1::Life is like fireworks. You had better seize the moment!}}","life is like fireworks You had better seize the moment!","","",""
"346","347","CHAPTER 06 조동사","UNIT 33 충고(Advisability) / 의무(Necessity)","문장을 완성하라.","당신은 자신의 생각을 강요하지 않는 편이 좋다 / 다른 사람들에게.","{{c1::You had better not force your opinion on others.}}","you had better not force your opinion on others","","",""
"347","348","CHAPTER 06 조동사","UNIT 33 충고(Advisability) / 의무(Necessity)","문장을 완성하라.","당신은 큰일들을 할 필요는 없다 / 큰 사랑을 보여주려고 (당신의 이웃들에 대한).","{{c1::You need not do great things to show great love for your neighbors.}}","you need not do great things to show great love for your neighbors","","",""
"348","349","CHAPTER 06 조동사","UNIT 33 충고(Advisability) / 의무(Necessity)","문장을 완성하라.","우리는 애써야 한다 / 인생에서 긍정적인 것들을 보도록 // 우리가 갇혀 있는 동안에도 / 곤경 의 한가운데.","{{c1::We have to try to see the positives in life even while we are stuck in the middle of trouble.}}","we have to try to see the positives in life even while we are stuck in the middle of trouble","","",""
"349","350","CHAPTER 06 조동사","UNIT 33 충고(Advisability) / 의무(Necessity)","문장을 완성하라.","어른들은 입장료를 내야 한다, // 하지만 아이들은 어떤 것도 낼 필요가 없다.","{{c1::Adults must pay an entrance fee, but children don’t have to pay anything.}}","adults must pay an entrance fee, but children don’t have to pay anything","","",""
"350","351","CHAPTER 06 조동사","UNIT 34 현재나 미래에 대한 가능성 / 추측","문장을 완성하라.","가치 있는 어떤 것을 생산하는 일은 / 수 년 간의 성과 없는 노력을 요구할지도 모른다.","{{c1::To produce something worthwhile may require years of fruitless labor.}}","to produce something worthwhile may require years of fruitless labor","","",""
"351","352","CHAPTER 06 조동사","UNIT 34 현재나 미래에 대한 가능성 / 추측","문장을 완성하라.","우리 계산서가 200달러가 넘는데, // 그게 맞을 리가 없어요. 틀림없이 무슨 착오가 있을 거예 요.","{{c1::Our bill is over $200 — that can’t be right. There must be some mistake.}}","our bill is over $200 — that can’t be right There must be some mistake","","",""
"352","353","CHAPTER 06 조동사","UNIT 34 현재나 미래에 대한 가능성 / 추측","문장을 완성하라.","당신의 결점을 받아들이는 것은 / 개인의 성장과 변화로 이어질지도 모른다.","{{c1::Accepting your flaws might lead to personal growth and change.}}","accepting your flaws might lead to personal growth and change","","",""
"353","354","CHAPTER 06 조동사","UNIT 34 현재나 미래에 대한 가능성 / 추측","문장을 완성하라.","당신의 최악의 날은 / 축복일지도 모른다 (변장한).","{{c1::Your worst day could be a blessing in disguise.}}","your worst day could be a blessing in disguise","","",""
"354","355","CHAPTER 06 조동사","UNIT 34 현재나 미래에 대한 가능성 / 추측","문장을 완성하라.","한 순간이 당신의 삶을 바꿀 수도 있다. // 열린 자세를 가져라 / 선물과도 같은 기회에 [세상 이 가져다줄지도 모르는 / 당신의 발치에].","{{c1::A single moment can change your life; be open to gift-like chances which the world might bring to your feet.}}","a single moment can change your life; be open to gift-like chances which the world might bring to your feet","","",""
"355","356","CHAPTER 06 조동사","UNIT 34 현재나 미래에 대한 가능성 / 추측","문장을 완성하라.","벚꽃은 만개할 것이다 / 하루나 이틀 후에 / 그리고 지속될 것이다 / 약 일주일간.","{{c1::The cherry blossoms should be in full bloom in a day or two and will last about a week.}}","the cherry blossoms should be in full bloom in a day or two and will last about a week","","",""
"356","357","CHAPTER 06 조동사","UNIT 34 현재나 미래에 대한 가능성 / 추측","문장을 완성하라.","그 영화는 약 90분 동안 상영할 것이다, // 그러면 우리는 집에 갈 것이다 / 오후 10시까지는.","{{c1::The film ought to take about 90 minutes, so we’ll be home by 10 p.m.}}","the film ought to take about 90 minutes, so we’ll be home by 10 pm","","",""
"357","358","CHAPTER 06 조동사","UNIT 34 현재나 미래에 대한 가능성 / 추측","문장을 완성하라.","가장 최선의 방법은 (그 질문에 대해 대답하는) / ~일 것이다 / (~한) 것에 집중하는 것 [중요 한].","{{c1::The best way to answer the question would be to focus on the things that matter.}}","the best way to answer the question would be to focus on the things that matter","","",""
"358","359","CHAPTER 06 조동사","UNIT 34 현재나 미래에 대한 가능성 / 추측","문장을 완성하라.","당신도 이해하시겠지만, // 우리는 예외를 만들 수 없습니다 (이 안전 수칙에 대한).","{{c1::As you will understand, we can’t make exceptions to this safety rule.}}","as you will understand, we can’t make exceptions to this safety rule","","",""
"359","360","CHAPTER 06 조동사","UNIT 34 현재나 미래에 대한 가능성 / 추측","문장을 완성하라.","(~은) 사실일 리가 없다 // 그가 지금 집에 있는 것은. 그는 동해안에 갔다 / 휴가로 / 어제.","{{c1::It cannot be true that he is home now. He went to the east coast on vacation yesterday.}}","it cannot be true that he is home now He went to the east coast on vacation yesterday","","",""
"360","361","CHAPTER 06 조동사","UNIT 35 과거에 대한 가능성 / 추측 / 후회","문장을 완성하라.","누군가가 발견했을지도 모른다 / 네 전화기를. 분실물 보관소를 먼저 확인해봐라.","{{c1::Someone may have found your phone. Check the lost and found first.}}","someone may have found your phone Check the lost and found first","","",""
"361","362","CHAPTER 06 조동사","UNIT 35 과거에 대한 가능성 / 추측 / 후회","문장을 완성하라.","내 알람 시계가 울리지 않았다 / 오늘 아침에. 나는 잊어버렸음이 틀림없다 / 그것을 설정하는 것을 / 지난밤에.","{{c1::My alarm clock didn’t go off this morning. I must have forgotten to set it last night.}}","my alarm clock didn’t go off this morning I must have forgotten to set it last night","","",""
